teams,stadium,brewery,address ,bLat,bLong
San Francisco Giants,Oracle Park,Anchor Brewing Company,"1705 Mariposa St, San Francisco, CA 94107",37.763401,-122.4010175
San Francisco Giants,Oracle Park,Altamont,"2402 Research Dr, Livermore, CA 94550",37.6783911,-121.7210974
San Francisco Giants,Oracle Park,Beachwood Blendery,"247 Long Beach Boulevard, Long Beach, CA 90802",33.7701069,-118.1894716
San Francisco Giants,Oracle Park,Lagunitas Brewing Company,"2607 W 17th St, Chicago, IL 60608",41.8577607,-87.6923518
San Francisco Giants,Oracle Park,HenHouse Brewing Company,"322 Bellevue Ave, Santa Rosa, CA 95407",38.4017722,-122.7241302
San Francisco Giants,Oracle Park,Plow Brewing Company,"3334 Industrial Dr, Santa Rosa, CA 95403",38.474275,-122.7400727
San Francisco Giants,Oracle Park,Temescal Brewing,"4115 Telegraph Ave, Oakland, CA 94609",37.8359699,-122.2626356
San Francisco Giants,Oracle Park,Almanac,"651 W Tower Ave, Alameda, CA 94501",37.7833703,-122.2994436
San Francisco Giants,Oracle Park,Local Brewing,"69 Bluxome St, San Francisco, CA 94107",37.776173,-122.3973825
San Francisco Giants,Oracle Park,The Bruery,"717 Dunn Way, Placentia, CA 92870",33.8623093,-117.8791616
San Francisco Giants,Oracle Park,Russian River Brewing Company,"725 4th St, Santa Rosa, CA 95404",38.4417986,-122.7116634
Seattle Mariners,T-Mobile Park,Dru Bru Pacific Crest,"10 Pass Life Way #3, Snoqualmie Pass, WA 98068",47.421188,-121.412514
Seattle Mariners,T-Mobile Park,No-Li Brewhouse,"1003 E Trent Ave #170, Spokane, WA 99202",47.66287,-117.3942
Seattle Mariners,T-Mobile Park,Fremont Brewing Company,"1050 N 34th St, Seattle, WA 98103",47.64899,-122.34444
Seattle Mariners,T-Mobile Park,Maritime Pacific Brewing Company,"1111 NW Ballard Way, Seattle, WA 98107",47.662701,-122.371712
Seattle Mariners,T-Mobile Park,Elysian Capitol Hill Brewery,"1221 E Pike St, Seattle, WA 98122",47.61413,-122.29881
Seattle Mariners,T-Mobile Park,10 Barrel,"1411 NW Flanders St, Portland, OR 97209",45.5258997,-122.6854954
Seattle Mariners,T-Mobile Park,Pike Brewing Company,"1415 1st Ave, Seattle, WA 98101",47.6099366,-122.3353594
Seattle Mariners,T-Mobile Park,Black Raven Brewing Co.,"14679 NE 95th St, Redmond, WA 98052",47.6856808,-122.1210585
Seattle Mariners,T-Mobile Park,Saucony Creek Brewing Company + Gastropub,"15032 Kutztown Rd, Kutztown, PA 19530",40.5173,-75.7774
Seattle Mariners,T-Mobile Park,Sumerian Brewing Company,"15510 Redmond-Woodinville Rd NE E110, Woodinville, WA 98072",47.698306,-122.132141
Seattle Mariners,T-Mobile Park,Mac & Jack's Brewery,"17825 NE 65th St, Redmond, WA 98052",47.6639958,-122.1022118
Seattle Mariners,T-Mobile Park,Bale Breaker Brewing Company,"1801 Birchfield Rd, Yakima, WA 98901",46.576865,-120.435335
Seattle Mariners,T-Mobile Park,21st Amendment Brewery,"2010 Williams St, San Leandro, CA 94577",37.7106085,-122.176798
Seattle Mariners,T-Mobile Park,7 Seas Brewery and Taproom,"2101 Jefferson Ave, Tacoma, WA 98402",47.2425697,-122.4389955
Seattle Mariners,T-Mobile Park,Rogue Brewing,"2320 SE Marine Science Dr, Newport, OR 97365",44.6193044,-124.0495876
Seattle Mariners,T-Mobile Park,Ninkasi Brewing,"272 Van Buren St, Eugene, OR 97402",44.0569763,-123.1097794
Seattle Mariners,T-Mobile Park,Schooner Exact Brewing Company,"3901 1st Ave S, Seattle, WA 98134",47.5678008,-122.3354879
Seattle Mariners,T-Mobile Park,Iron Horse Brewing,"412 N Main St, Ellensburg, WA 98926",46.9956956,-120.5485044
Seattle Mariners,T-Mobile Park,Victory Brewing Company,"420 Acorn Ln, Downingtown, PA 19335",40.0051117,-75.6940069
Seattle Mariners,T-Mobile Park,Diamond Knot Brewery,"4602 Chennault Beach Rd b2, Mukilteo, WA 98275",47.896152,-122.295403
Seattle Mariners,T-Mobile Park,Two Beers Brewing Co.,"4700 Ohio Ave S, Seattle, WA 98134",47.5605648,-122.3377084
Seattle Mariners,T-Mobile Park,NW Peaks Brewery,"4818 17th Ave NW, Seattle, WA 98107",47.664253,-122.378716
Seattle Mariners,T-Mobile Park,Reuben's Brews,"5010 14th Ave NW, Seattle, WA 98107",47.6654087,-122.3732468
Seattle Mariners,T-Mobile Park,Full Sail Brewing Company,"506 Columbia St, Hood River, OR 97031",45.7103601,-121.516566
Seattle Mariners,T-Mobile Park,Spire Mountain Ciders,"515 Jefferson St SE, Olympia, WA 98501",47.0442064,-122.896689
Seattle Mariners,T-Mobile Park,Breakside,"5821 SE International Way, Milwaukie, OR 97222",45.4317535,-122.6032529
Seattle Mariners,T-Mobile Park,Ecliptic,"825 N Cook St, Portland, OR 97227",45.54737,-122.6751185
St. Louis Cardinals,Busch Stadium,4 Hands,"1220 S 8th St, St. Louis, MO 63104",38.637001,-90.18956
St. Louis Cardinals,Busch Stadium,Elysian Capitol Hill Brewery,"1221 E Pike St, Seattle, WA 98122",47.61413,-122.29881
St. Louis Cardinals,Busch Stadium,Jacob Leinenkugel Brewing Company,"124 E Elm St, Chippewa Falls, WI 54729",44.9423,-91.39638
St. Louis Cardinals,Busch Stadium,2nd Shift,"1601 Sublette Ave, St. Louis, MO 63110",38.6215046,-90.2807846
St. Louis Cardinals,Busch Stadium,Goose Island Beer Co.,"1800 W Fulton St, Chicago, IL 60612",41.88694,-87.672256
St. Louis Cardinals,Busch Stadium,Goose Island Beer Co.,"1800 W Fulton St, Chicago, IL 60612",41.88694,-87.672256
St. Louis Cardinals,Busch Stadium,The Schlafly Tap Room,"2100 Locust St, St. Louis, MO 63103",38.6329887,-90.2096942
St. Louis Cardinals,Busch Stadium,Mother's Brewing Company,"215 S Grant Ave, Springfield, MO 65806",37.2079174,-93.2992828
St. Louis Cardinals,Busch Stadium,Founders Brewing Company,"235 Grandville Ave SW, Grand Rapids, MI 49503",42.9524964,-85.6765753
St. Louis Cardinals,Busch Stadium,Boulevard Brewing Co.,"2501 Southwest Blvd, Kansas City, MO 64108",39.0819635,-94.5968231
St. Louis Cardinals,Busch Stadium,Breckenridge Brewery,"2920 Brewery Ln, Littleton, CO 80120",39.5937,-105.023491
St. Louis Cardinals,Busch Stadium,Boston Beer Company (Samuel Adams),"30 Germania St, Boston, MA 02130",42.314548,-71.102882
St. Louis Cardinals,Busch Stadium,Urban Chestnut Brewing Company,"3229 Washington Ave, St. Louis, MO 63103",38.637929,-90.225791
St. Louis Cardinals,Busch Stadium,Bell's Brewery,"355 E Kalamazoo Ave, Kalamazoo, MI 49007",42.2949155,-85.5788729
St. Louis Cardinals,Busch Stadium,O'Fallon Brewery,"45 Progress Pkwy, Maryland Heights, MO 63043",38.7141567,-90.44581
St. Louis Cardinals,Busch Stadium,New Belgium Brewing,"500 Linden St, Fort Collins, CO 80524",40.59342,-105.0684
Tampa Bay Rays,Tropicana Field,Green Bench Brewing Co.,"1133 Baum Ave N, St. Petersburg, FL 33705",27.771709,-82.650658
Tampa Bay Rays,Tropicana Field,Jacob Leinenkugel Brewing Company,"124 E Elm St, Chippewa Falls, WI 54729",44.9423,-91.39638
Tampa Bay Rays,Tropicana Field,Big Storm,"12707 49th St N, Clearwater, FL 33762",27.8874,-82.69971
Tampa Bay Rays,Tropicana Field,Tampa Bay Brewing,"1600 E 8th Ave, Tampa, FL 33605",27.9610761,-82.4418927
Tampa Bay Rays,Tropicana Field,3 Daughters,"222 22nd St S, St. Petersburg, FL 33712",27.7689902,-82.6629721
Tampa Bay Rays,Tropicana Field,Coppertail Brewing,"2601 E 2nd Ave, Tampa, FL 33605",27.956553,-82.430498
Tampa Bay Rays,Tropicana Field,Boston Beer Company (Samuel Adams),"30 Germania St, Boston, MA 02130",42.314548,-71.102882
Tampa Bay Rays,Tropicana Field,Brew Hub,"3900 Frontage Rd S, Lakeland, FL 33815",27.996053,-81.978814
Tampa Bay Rays,Tropicana Field,Cigar City Brewing Company,"3924 W Spruce St, Tampa, FL 33607",27.959172,-82.509195
Tampa Bay Rays,Tropicana Field,New Belgium Brewing,"500 Linden St, Fort Collins, CO 80524",40.59342,-105.0684
Tampa Bay Rays,Tropicana Field,Cycle Brewing,"534 Central Ave, St. Petersburg, FL 33701",27.7709069,-82.6409282
Tampa Bay Rays,Tropicana Field,Saint Pete Brewing,"544 1st Ave N, St. Petersburg, FL 33701",27.7717902,-82.6410209
Tampa Bay Rays,Tropicana Field,Crooked Thumb,"555 10th Ave S, Safety Harbor, FL 34695",27.9874923,-82.6987679
Texas Rangers,Globe Life Park in Arlington,Sierra Nevada Brewing Co.,"1075 E 20th St, Chico, CA 95928",39.723679,-121.815453
Texas Rangers,Globe Life Park in Arlington,Four Peaks Brewing Company,"1340 E 8th St #104, Tempe, AZ 85281",33.419899,-111.915077
Texas Rangers,Globe Life Park in Arlington,Goose Island Beer Co.,"1800 W Fulton St, Chicago, IL 60612",41.88694,-87.672256
Texas Rangers,Globe Life Park in Arlington,Saint Arnold Brewing Company,"2000 Lyons Ave, Houston, TX 77020",29.7711237,-95.3484665
Texas Rangers,Globe Life Park in Arlington,Karbach Brewing Co.,"2032 Karbach St, Houston, TX 77092",29.8063812,-95.4605283
Texas Rangers,Globe Life Park in Arlington,Real Ale Brewing Company,"231 San Saba Ct, Blanco, TX 78606",30.113319,-98.4128525
Texas Rangers,Globe Life Park in Arlington,Founders Brewing Company,"235 Grandville Ave SW, Grand Rapids, MI 49503",42.9524964,-85.6765753
Texas Rangers,Globe Life Park in Arlington,Deep Ellum Brewing Company,"2823 St Louis St, Dallas, TX 75226",32.7807294,-96.7813877
Texas Rangers,Globe Life Park in Arlington,Oskar Blues Brewery,"342 Mountain Industrial Dr, Brevard, NC 28712",35.2536956,-82.7069595
Texas Rangers,Globe Life Park in Arlington,Franconia Brewing Company,"495 McKinney Pkwy, McKinney, TX 75071",33.213003,-96.6091177
Texas Rangers,Globe Life Park in Arlington,Legal Draft Beer Co.,"500 E Division St, Arlington, TX 76011",32.7379791,-97.1026034
Texas Rangers,Globe Life Park in Arlington,Legal Draft Beer Co.,"500 E Division St, Arlington, TX 76011",32.7379791,-97.1026034
Texas Rangers,Globe Life Park in Arlington,Rahr & Sons Brewing,"701 Galveston Ave, Fort Worth, TX 76104",32.7371,-97.327292
Texas Rangers,Globe Life Park in Arlington,Kona Brewing Co.,"74-5612 Pawai Pl, Kailua, HI 96740",19.643069,-155.997661
Texas Rangers,Globe Life Park in Arlington,Odell Brewing Company,"800 E Lincoln Ave, Fort Collins, CO 80524",40.5895239,-105.0633327
Toronto Blue Jays,Rogers Centre,Mill Street Brewery,"125 Bermondsey Rd, North York, ON M4A 1X3, Canada",43.71838,-79.3124
Toronto Blue Jays,Rogers Centre,Alexander Keith?s,"1496 Lower Water St, Halifax, NS B3J 3R5, Canada",44.644606,-63.5705145
Toronto Blue Jays,Rogers Centre,Labatt Brewery,"150 Simcoe St, London, ON N6A 4M3, Canada",42.977236,-81.248999
Toronto Blue Jays,Rogers Centre,Goose Island Beer Co.,"1800 W Fulton St, Chicago, IL 60612",41.88694,-87.672256
Toronto Blue Jays,Rogers Centre,ockley Valley Brewing Co,"25 Centennial Rd #10, Orangeville, ON L9W 1R1, Canada",43.91045,-80.110013
Toronto Blue Jays,Rogers Centre,Sleeman Brewery,"551 Clair Rd W, Guelph, ON N1L 1E9, Canada",43.490829,-80.206681
Toronto Blue Jays,Rogers Centre,Stella Artois,"Aarschotsesteenweg 20, 3000 Leuven, Belgium",50.9387779,4.7358296
Toronto Blue Jays,Rogers Centre,Hoegaarden brewery,"Altenaken 1-3, 3320 Hoegaarden, Belgium",50.7741985,4.9127051
Washington Nationals,Nationals Park,Sierra Nevada Brewing Co.,"1075 E 20th St, Chico, CA 95928",39.723679,-121.815453
Washington Nationals,Nationals Park,Atlas,"2052 West Virginia Ave NE #102, Washington, DC 20002",38.9148077,-76.9815312
Washington Nationals,Nationals Park,Golden Road Brewing,"2210 E Orangewood Ave, Anaheim, CA 92806",33.795521,-117.88501
Washington Nationals,Nationals Park,Boulevard Brewing Co.,"2501 Southwest Blvd, Kansas City, MO 64108",39.0819635,-94.5968231
Washington Nationals,Nationals Park,DC Brau,"3178 Bladensburg Rd NE Suite B, Washington, DC 20018",38.9297174,-76.9601984
Washington Nationals,Nationals Park,Port City Brewing,"3950 Wheeler Ave, Alexandria, VA 22304",38.8080316,-77.1014923
Washington Nationals,Nationals Park,Flying Dog Brewery,"4607 Wedgewood Blvd, Frederick, MD 21703",39.3628322,-77.4267911
Washington Nationals,Nationals Park,Allagash Brewing Company,"50 Industrial Way, Portland, ME 04103",43.7030951,-70.3179518
Washington Nationals,Nationals Park,Devils Backbone,"50 N Wind Ln, Lexington, VA 24450",37.821577,-79.391205
Washington Nationals,Nationals Park,Dogfish Head Craft Brewery,"6 Cannery Village Center, Milton, DE 19968",38.7671166,-75.3113509
Washington Nationals,Nationals Park,3 Stars Brewing,"6400 Chillum Pl NW, Washington, DC 20012",38.9675541,-77.0127607
